Branch#,Branch Name,Group,Code,Description,Long Description 1,Last Supplier,Outer Qty,Outer Desc,Jul2018 Qty Start,Free Stock,Ytd Qty Sold,Min Qty,Max Qty,Unit
"0","All","04","ASDST33825","DOUBLE SIDED TAPE 3.3mm X 8mm X 25m","","PBSDIS","0","","0","0","0","0","0",""
"0","All","04","ASE20LD","EXPOSE 20 LITRE DRUM","","FIRIND","0","","0","0","0","0","0",""
"0","All","04","ASFBF500","FULLER BUILDING FILLER 500ML","","HOLNEW","0","","0","0","0","0","0",""
"0","All","04","ASFUBKW300","FULLER BATH & KITCHEN SILICONE WHITE 300","","HOLNEW","0","","0","0","0","0","0",""
"0","All","04","ASFUFS450","FULLER FIRESOUND ACOUSTIC SEALANT 450G","","SIKNEW","0","","0","0","0","0","0",""
"0","All","04","ASFUGFW450","FULLER GAP FILLER WHITE 450G","","SIKNEW","0","","0","0","0","0","0",""
"0","All","04","ASFUMB375","FULLER MAX BOND 375ML","","SIKNEW","0","","0","0","0","0","0",""
"0","All","04","ASFUPR300","FULLER PLUMBERS & ROOFERS 780 SILICONE 3","","SIKNEW","0","","0","0","0","0","0",""
"0","All","04","ASFUSB375","FULLER STURDI BOND ADHESIVE 375ML","","SIKNEW","0","","0","0","0","0","0",""
"0","All","04","ASFUUC300","FULLER ULTRA CLEAR ACRYLIC SEALANT 300G","","HOLNEW","0","","0","0","0","0","0",""
"0","All","04","ASGBDFA375","Gib DTS Gib Fix One Adhesive 375ml Cart","","WINWAL","0","","0","0","0","0","0",""
"0","All","04","ASGBDGFAB375","Gib DTS Gib Fix All 375ml Cart","","WINWAL","0","","0","0","0","0","0",""
"0","All","04","ASGBDGFO600","Gib Fix One Sausage 600ml","","WINWAL","20","Box","0","0","0","0","0",""
"0","All","04","ASGBDGFOS600","Gib DTS Gib Fix One Sausage 600ml","","WINWAL","0","","0","0","0","0","0",""
"0","All","04","ASGBDGFS600","Gib DTS Gib Fix All Bond Sausage 600ml","","WINWAL","0","","0","0","0","0","0",""
"0","All","04","ASGCB4520","Gib Cove Bond 45 20kg Bag","","WINWAL","0","","0","0","0","0","0",""
"0","All","04","ASGCB455","Gib Cove Bond 45 5kg Bag","","WINWAL","0","","2","2","0","2","2",""
"0","All","04","ASGCB9020","Gib Cove Bond 90 20kg Bag","","WINWAL","0","","0","0","0","0","0",""
"0","All","04","ASGFAB375","Gib Fix One Adhesive 375ml Cart","","WINWAL","0","","0","12","23","10","22",""
"0","All","04","ASGP410","Gib Plus 4 10l Pail","","WINWAL","0","","0","0","0","0","0",""
"0","All","04","ASGP415","Gib Plus 4 15kg Pail","","WINWAL","0","","0","0","0","0","0",""
"0","All","04","ASHC500","HILTI CLEANER CFR1 500ML","","HILFAS","0","","0","0","0","0","0",""
"0","All","04","ASHDG","HILTI DISPENSER GUN CF DS-1","","HILFAS","0","","0","0","0","0","0",""
"0","All","04","ASHFACC300","HOLDFAST FIX ALL CRYSTAL CLEAR 300GM","","HOLNEW","0","","0","0","0","0","0",""
"0","All","04","ASHFAWG1","HOLDFAST ALIPHATIC WOOD GLUE PVA 1 LITRE","","HOLNEW","0","","0","0","0","0","0",""
